,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount
90,arunachal-pradesh,2022,4,tawang,32,117810.0
91,arunachal-pradesh,2022,4,namsai,25,52176.0
92,arunachal-pradesh,2022,4,lower dibang valley,23,56348.0
93,arunachal-pradesh,2022,4,west siang,22,42902.0
94,arunachal-pradesh,2022,4,tirap,22,69612.0
95,arunachal-pradesh,2023,4,papum pare,318,852980.0
96,arunachal-pradesh,2023,4,west kameng,67,190405.0
97,arunachal-pradesh,2023,4,namsai,49,120567.0
98,arunachal-pradesh,2023,4,west siang,48,119227.0
99,arunachal-pradesh,2023,4,changlang,47,94883.0
100,arunachal-pradesh,2023,4,tawang,45,167579.0
101,arunachal-pradesh,2023,4,east siang,42,109484.0
102,arunachal-pradesh,2023,4,lower dibang valley,35,81825.0
103,arunachal-pradesh,2023,4,lohit,34,77356.0
104,arunachal-pradesh,2023,4,tirap,32,74981.0
105,arunachal-pradesh,2024,4,itanagar capital complex,240,638964.0
106,arunachal-pradesh,2024,4,west kameng,117,277233.0
107,arunachal-pradesh,2024,4,east siang,89,235678.0
108,arunachal-pradesh,2024,4,tawang,68,223139.0
109,arunachal-pradesh,2024,4,papum pare,61,126855.0
110,arunachal-pradesh,2024,4,changlang,55,85559.0
111,arunachal-pradesh,2024,4,west siang,55,118386.0
112,arunachal-pradesh,2024,4,namsai,41,93403.0
113,arunachal-pradesh,2024,4,lower subansiri,35,61313.0
114,arunachal-pradesh,2024,4,tirap,35,86267.0
115,assam,2020,4,kamrup metropolitan,626,534531.0
116,assam,2020,4,nagaon,147,104375.0
117,assam,2020,4,barpeta,121,89658.0
118,assam,2020,4,tinsukia,121,110036.0
119,assam,2020,4,kamrup,110,73472.0
120,assam,2020,4,sonitpur,101,76365.0
121,assam,2020,4,dibrugarh,97,85549.0
122,assam,2020,4,cachar,91,63874.0
123,assam,2020,4,jorhat,82,61112.0
124,assam,2020,4,bongaigaon,69,45817.0
125,assam,2021,4,kamrup metropolitan,2250,2848340.0
126,assam,2021,4,barpeta,470,805931.0
127,assam,2021,4,nagaon,450,872663.0
128,assam,2021,4,dibrugarh,422,720457.0
129,assam,2021,4,sonitpur,415,668817.0
130,assam,2021,4,tinsukia,376,622789.0
131,assam,2021,4,kamrup,360,561224.0
132,assam,2021,4,cachar,322,545014.0
133,assam,2021,4,jorhat,257,543440.0
134,assam,2021,4,dhubri,255,370821.0
135,assam,2022,4,kamrup metropolitan,5835,7067068.0
136,assam,2022,4,sonitpur,1095,1672604.0
137,assam,2022,4,dibrugarh,1094,1961516.0
138,assam,2022,4,kamrup,864,1321583.0
139,assam,2022,4,barpeta,845,1263373.0
140,assam,2022,4,nagaon,731,1242807.0
141,assam,2022,4,cachar,705,1215813.0
142,assam,2022,4,tinsukia,650,1190417.0
143,assam,2022,4,jorhat,606,1014221.0
144,assam,2022,4,lakhimpur,481,987421.0
145,assam,2023,4,kamrup metropolitan,5317,7719481.0
146,assam,2023,4,sonitpur,1353,2337321.0
147,assam,2023,4,dibrugarh,1311,2554356.0
148,assam,2023,4,barpeta,1163,1993408.0
149,assam,2023,4,kamrup,1106,1685946.0
150,assam,2023,4,nagaon,1095,1810718.0
151,assam,2023,4,jorhat,963,1550776.0
152,assam,2023,4,tinsukia,899,1734025.0
153,assam,2023,4,dhubri,755,1083292.0
154,assam,2023,4,cachar,737,1308876.0
155,assam,2024,4,kamrup metropolitan,4694,7306786.0
156,assam,2024,4,dibrugarh,1204,2506223.0
157,assam,2024,4,sonitpur,1136,1890760.0
158,assam,2024,4,kamrup,1090,1561314.0
159,assam,2024,4,nagaon,1012,1552864.0
160,assam,2024,4,barpeta,972,1389291.0
161,assam,2024,4,cachar,833,1281628.0
162,assam,2024,4,tinsukia,816,1517962.0
163,assam,2024,4,dhubri,722,925125.0
164,assam,2024,4,jorhat,663,1209024.0
165,bihar,2020,4,patna,1831,1396144.0
166,bihar,2020,4,muzaffarpur,616,462851.0
167,bihar,2020,4,vaishali,445,381786.0
168,bihar,2020,4,saran,410,376021.0
169,bihar,2020,4,samastipur,404,405354.0
170,bihar,2020,4,darbhanga,375,329076.0
171,bihar,2020,4,gaya,366,260585.0
172,bihar,2020,4,madhubani,362,312107.0
173,bihar,2020,4,purbi champaran,336,195193.0
174,bihar,2020,4,bhagalpur,332,281912.0
175,bihar,2021,4,patna,5114,5291931.0
176,bihar,2021,4,muzaffarpur,1372,1563252.0
177,bihar,2021,4,vaishali,1036,1200374.0
178,bihar,2021,4,saran,880,1231657.0
179,bihar,2021,4,samastipur,836,1098032.0
180,bihar,2021,4,bhagalpur,818,990253.0
181,bihar,2021,4,gaya,801,890348.0
182,bihar,2021,4,darbhanga,793,870539.0
183,bihar,2021,4,begusarai,719,859763.0
184,bihar,2021,4,purbi champaran,667,874730.0
185,bihar,2022,4,patna,7741,8886520.0
186,bihar,2022,4,muzaffarpur,2305,2622512.0
187,bihar,2022,4,vaishali,1553,1950312.0
188,bihar,2022,4,samastipur,1371,1741058.0
189,bihar,2022,4,bhagalpur,1277,1839829.0
190,bihar,2022,4,saran,1260,1760294.0
191,bihar,2022,4,darbhanga,1183,1530684.0
192,bihar,2022,4,gaya,1156,1515312.0
193,bihar,2022,4,begusarai,1065,1313395.0
194,bihar,2022,4,nalanda,944,1190812.0
195,bihar,2023,4,patna,9152,12139703.0
196,bihar,2023,4,muzaffarpur,2640,3487730.0
197,bihar,2023,4,vaishali,2076,2700720.0
198,bihar,2023,4,bhagalpur,1712,2382914.0
199,bihar,2023,4,samastipur,1650,2083069.0
200,bihar,2023,4,begusarai,1515,1920706.0
201,bihar,2023,4,saran,1474,2082626.0
202,bihar,2023,4,gaya,1459,2063105.0
203,bihar,2023,4,darbhanga,1385,1986204.0
204,bihar,2023,4,madhubani,1261,1853704.0
205,bihar,2024,4,patna,12285,17467167.0
206,bihar,2024,4,muzaffarpur,3574,4618556.0
207,bihar,2024,4,bhagalpur,2880,3502440.0
208,bihar,2024,4,vaishali,2751,3366259.0
209,bihar,2024,4,purbi champaran,2743,3484729.0
210,bihar,2024,4,begusarai,2448,2967847.0
211,bihar,2024,4,samastipur,2399,3064251.0
212,bihar,2024,4,gaya,2142,2996672.0
213,bihar,2024,4,saran,2101,2867354.0
214,bihar,2024,4,madhubani,1964,2474980.0
215,chandigarh,2020,4,chandigarh,200,153341.0
216,chandigarh,2021,4,chandigarh,710,835813.0
217,chandigarh,2022,4,chandigarh,1403,2024528.0
218,chandigarh,2023,4,chandigarh,1767,3053934.0
219,chandigarh,2024,4,chandigarh,2095,3729932.0
220,chhattisgarh,2020,4,raipur,854,518623.0
221,chhattisgarh,2020,4,durg,393,252505.0
222,chhattisgarh,2020,4,bilaspur,341,195612.0
223,chhattisgarh,2020,4,raigarh,253,133432.0
224,chhattisgarh,2020,4,janjgir champa,250,129700.0
225,chhattisgarh,2020,4,korba,212,154943.0
226,chhattisgarh,2020,4,rajnandgaon,154,119506.0
227,chhattisgarh,2020,4,baloda bazar,144,91702.0
228,chhattisgarh,2020,4,mahasamund,113,51551.0
229,chhattisgarh,2020,4,kanker,106,72276.0
230,chhattisgarh,2021,4,raipur,1504,1759887.0
231,chhattisgarh,2021,4,durg,857,1120413.0
232,chhattisgarh,2021,4,bilaspur,510,802349.0
233,chhattisgarh,2021,4,korba,389,532770.0
234,chhattisgarh,2021,4,janjgir champa,266,334273.0
235,chhattisgarh,2021,4,raigarh,230,349708.0
236,chhattisgarh,2021,4,surguja,210,297790.0
237,chhattisgarh,2021,4,bastar,183,266874.0
238,chhattisgarh,2021,4,mahasamund,165,179042.0
239,chhattisgarh,2021,4,kanker,161,220818.0
240,chhattisgarh,2022,4,raipur,2894,3964532.0
241,chhattisgarh,2022,4,durg,1757,2516798.0
242,chhattisgarh,2022,4,bilaspur,1264,1762665.0
243,chhattisgarh,2022,4,korba,1020,1466794.0
244,chhattisgarh,2022,4,raigarh,642,920443.0
245,chhattisgarh,2022,4,janjgir champa,489,702708.0
246,chhattisgarh,2022,4,rajnandgaon,388,677411.0
247,chhattisgarh,2022,4,surguja,345,629537.0
248,chhattisgarh,2022,4,bastar,313,555336.0
249,chhattisgarh,2022,4,baloda bazar,303,425204.0
250,chhattisgarh,2023,4,raipur,4216,6830052.0
251,chhattisgarh,2023,4,durg,2391,4187335.0
252,chhattisgarh,2023,4,bilaspur,1688,2767222.0
253,chhattisgarh,2023,4,korba,1325,2428339.0
254,chhattisgarh,2023,4,raigarh,1001,1543078.0
255,chhattisgarh,2023,4,janjgir champa,704,1097171.0
256,chhattisgarh,2023,4,bastar,612,970907.0
257,chhattisgarh,2023,4,rajnandgaon,604,985105.0
258,chhattisgarh,2023,4,surguja,544,1045385.0
259,chhattisgarh,2023,4,baloda bazar,415,670178.0
260,chhattisgarh,2024,4,raipur,5081,8313161.0
261,chhattisgarh,2024,4,durg,3059,5223646.0
262,chhattisgarh,2024,4,bilaspur,2244,3412964.0
263,chhattisgarh,2024,4,korba,1736,2793511.0
264,chhattisgarh,2024,4,raigarh,1377,1983492.0
265,chhattisgarh,2024,4,bastar,769,1263838.0
266,chhattisgarh,2024,4,janjgir champa,763,1264517.0
267,chhattisgarh,2024,4,surguja,608,1284497.0
268,chhattisgarh,2024,4,balodabazar bhatapara,566,751821.0
269,chhattisgarh,2024,4,rajnandgaon,540,929044.0
270,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,daman,115,95653.0
271,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,dadra and nagar haveli,111,52122.0
272,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,diu,6,1738.0
273,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,dadra and nagar haveli,244,207499.0
274,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,daman,168,179850.0
275,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,diu,9,38035.0
276,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,dadra and nagar haveli,610,762921.0
277,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,daman,238,442560.0
278,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,diu,23,67147.0
