,State,Year,Quater,Transacion_type,hover_count,hover_amount
86,andhra-pradesh,2024,4,ntr district,7077,8504106.0
87,andhra-pradesh,2024,4,kakinada district,2905,3879273.0
88,andhra-pradesh,2024,4,anakapalli district,2018,2214934.0
89,andhra-pradesh,2024,4,ysr district,1792,2640383.0
90,andhra-pradesh,2024,4,west godavari district,1534,1956650.0
91,andhra-pradesh,2024,4,eluru district,1638,2188266.0
92,andhra-pradesh,2024,4,chittoor district,1604,2639312.0
93,arunachal-pradesh,2020,4,lower dibang valley district,9,1981.0
94,arunachal-pradesh,2020,4,lower subansiri district,1,32.0
95,arunachal-pradesh,2020,4,west siang district,1,162.0
96,arunachal-pradesh,2020,4,tirap district,4,1561.0
97,arunachal-pradesh,2020,4,papum pare district,48,21298.0
98,arunachal-pradesh,2020,4,siang district,2,691.0
99,arunachal-pradesh,2020,4,lower siang district,1,33.0
100,arunachal-pradesh,2020,4,changlang district,7,5505.0
101,arunachal-pradesh,2020,4,pakke kessang district,2,1017.0
102,arunachal-pradesh,2020,4,dibang valley district,1,2967.0
103,arunachal-pradesh,2020,4,west kameng district,15,22182.0
104,arunachal-pradesh,2020,4,east siang district,10,8075.0
105,arunachal-pradesh,2020,4,upper subansiri district,2,1154.0
106,arunachal-pradesh,2020,4,east kameng district,1,32.0
107,arunachal-pradesh,2020,4,lohit district,5,4148.0
108,arunachal-pradesh,2020,4,lepa rada district,3,2685.0
109,arunachal-pradesh,2020,4,tawang district,10,9740.0
110,arunachal-pradesh,2020,4,namsai district,3,984.0
111,arunachal-pradesh,2021,4,lower dibang valley district,11,12440.0
112,arunachal-pradesh,2021,4,lower subansiri district,7,10820.0
113,arunachal-pradesh,2021,4,longding district,2,4852.0
114,arunachal-pradesh,2021,4,west siang district,14,25308.0
115,arunachal-pradesh,2021,4,upper siang district,2,6420.0
116,arunachal-pradesh,2021,4,tirap district,14,37402.0
117,arunachal-pradesh,2021,4,papum pare district,128,232985.0
118,arunachal-pradesh,2021,4,kurung kumey district,2,4597.0
119,arunachal-pradesh,2021,4,anjaw district,2,1175.0
120,arunachal-pradesh,2021,4,siang district,5,7876.0
121,arunachal-pradesh,2021,4,lower siang district,2,3130.0
122,arunachal-pradesh,2021,4,changlang district,26,59532.0
123,arunachal-pradesh,2021,4,pakke kessang district,4,6980.0
124,arunachal-pradesh,2021,4,west kameng district,37,61049.0
125,arunachal-pradesh,2021,4,east siang district,7,22841.0
126,arunachal-pradesh,2021,4,upper subansiri district,4,6632.0
127,arunachal-pradesh,2021,4,east kameng district,4,4783.0
128,arunachal-pradesh,2021,4,lohit district,17,19353.0
129,arunachal-pradesh,2021,4,lepa rada district,4,22217.0
130,arunachal-pradesh,2021,4,tawang district,14,28772.0
131,arunachal-pradesh,2021,4,namsai district,14,19295.0
132,arunachal-pradesh,2022,4,lower dibang valley district,23,56348.0
133,arunachal-pradesh,2022,4,lower subansiri district,14,21747.0
134,arunachal-pradesh,2022,4,longding district,8,30147.0
135,arunachal-pradesh,2022,4,west siang district,22,42902.0
136,arunachal-pradesh,2022,4,upper siang district,10,38307.0
137,arunachal-pradesh,2022,4,tirap district,22,69612.0
138,arunachal-pradesh,2022,4,papum pare district,249,557453.0
139,arunachal-pradesh,2022,4,kurung kumey district,2,1617.0
140,arunachal-pradesh,2022,4,anjaw district,5,15990.0
